where is city0 ? ||| select city.state_name from city where city.city_name = ' city0 ' ;
what is the longest river that runs through a state that borders state0 ? ||| select river.river_name from river , border_info where river.traverse = border_info.state_name and border_info.border = ' state0 ' order by river.length desc limit 1 ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

how many cities are in state0 ? ||| select count ( city.city_name ) from city where city.state_name = ' state0 ' ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what are the major cities in the largest state ? ||| select city.city_name from city where city.population > number0 and city.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the biggest city in usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the capital of state0 ? ||| select state.capital from state where state.state_name = ' state0 ' ;

what is the state with the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people are there in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

which rivers run through states bordering state0 ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

which state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people live in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

how many people are there in state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what are the states through which the longest river runs ? ||| select river.traverse from river where river.length = ( select max ( river.length ) from river ) ;

how many rivers in state0 ? ||| select count ( river.river_name ) from river where river.traverse = ' state0 ' ;

how many states border state0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

which state has the largest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what is the longest river in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' and river.length = ( select max ( river.length ) from river where river.traverse = ' state0 ' ) ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what is the highest point in state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the capital of the state that borders the most states ? ||| select state.capital from border_info , state where state.state_name = border_info.state_name group by ( border_info.state_name ) order by count ( distinct border_info.border ) desc limit 1 ;

what is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

what is the population of state0 ? ||| select state.population from state where state.state_name = ' state0 ' ;

what is the state with the largest density in usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many states border state0 ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' state0 ' ;

what are the major cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' and city.population > number0 ;

what is the highest point in the smallest state ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.area = ( select min ( state.area ) from state ) ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what state has the greatest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

city0 population ? ||| select city.population from city where city.city_name = ' city0 ' ;

which states does not border state0 ? ||| select state.state_name from state where state.state_name not in ( select border_info.border from border_info where border_info.state_name = ' state0 ' ) ;

which states does river0 flow through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

give me the cities in state0 ? ||| select city.city_name from city where city.state_name = ' state0 ' ;

what is the shortest river in the us ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

could you tell me what is the highest point in the state of state0 ? ||| select highlow.highest_point from highlow where highlow.state_name = ' state0 ' ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what rivers are in state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

how big is state0 ? ||| select state.area from state where state.state_name = ' state0 ' ;

what are the populations of states which border state0 ? ||| select state.population from state , border_info where border_info.border = state.state_name and border_info.state_name = ' state0 ' ;

which state has the longest river ? ||| select river.traverse from river where river.length = ( select max ( river.length ) from river ) ;

how many people live in city0 state0 ? ||| select city.population from city where city.city_name = ' city0 ' and city.state_name = ' state0 ' ;

how high is the highest point in the largest state ? ||| select highlow.highest_elevation from highlow , state where highlow.state_name = state.state_name and state.area = ( select max ( state.area ) from state ) ;

which states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

how many rivers are there in the us ? ||| select count ( river.river_name ) from river ;

what are the major rivers in the us ? ||| select river.river_name from river ;

what are the major cities of the us ? ||| select city.city_name from city where city.population > number0 ;

what is the population of city0 ? ||| select city.population from city where city.city_name = ' city0 ' ;

what is the average population of the us by state ? ||| select avg ( state.population ) from state ;

what states does the river0 run through ? ||| select river.traverse from river where river.river_name = ' river0 ' ;

how long is the river0 in miles ? ||| select river.length from river where river.river_name = ' river0 ' ;

how many major cities are there ? ||| select count ( city.city_name ) from city where city.population > number0 ;

what is the lowest point in the state of state0 ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' state0 ' ;

what states border state0 ? ||| select border_info.border from border_info where border_info.state_name = ' state0 ' ;

what river flows through state0 ? ||| select river.river_name from river where river.traverse = ' state0 ' ;

what is the highest point in the united states ? ||| select highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

