where is san jose ? ||| select city.state_name from city where city.city_name = ' san jose ' ;
what is the capital of new hampshire ? ||| select state.capital from state where state.state_name = ' new hampshire ' ;

how many cities are in montana ? ||| select count ( city.city_name ) from city where city.state_name = ' montana ' ;

what is the highest point in colorado ? ||| select highlow.highest_point from highlow where highlow.state_name = ' colorado ' ;

what are the major cities in the largest state ? ||| select city.city_name from city where city.population > 150000 and city.state_name = ( select state.state_name from state where state.area = ( select max ( state.area ) from state ) ) ;

what is the biggest city in usa ? ||| select city.city_name from city where city.population = ( select max ( city.population ) from city ) ;

what is the capital of washington ? ||| select state.capital from state where state.state_name = ' washington ' ;

what is the state with the lowest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people are there in iowa ? ||| select state.population from state where state.state_name = ' iowa ' ;

which rivers run through states bordering new mexico ? ||| select river.river_name from river where river.traverse in ( select border_info.border from border_info where border_info.state_name = ' new mexico ' ) ;

which state has the sparsest population density ? ||| select state.state_name from state where state.density = ( select min ( state.density ) from state ) ;

how many people live in montana ? ||| select state.population from state where state.state_name = ' montana ' ;

how many people are there in new york ? ||| select state.population from state where state.state_name = ' new york ' ;

what are the states through which the longest river runs ? ||| select river.traverse from river where river.length = ( select max ( river.length ) from river ) ;

how many rivers in iowa ? ||| select count ( river.river_name ) from river where river.traverse = ' iowa ' ;

how many states border texas ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' texas ' ;

which state has the largest density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

what is the longest river in new york ? ||| select river.river_name from river where river.traverse = ' new york ' and river.length = ( select max ( river.length ) from river where river.traverse = ' new york ' ) ;

what states border new hampshire ? ||| select border_info.border from border_info where border_info.state_name = ' new hampshire ' ;

what is the highest point in ohio ? ||| select highlow.highest_point from highlow where highlow.state_name = ' ohio ' ;

what is the capital of the state that borders the most states ? ||| select state.capital from border_info , state where state.state_name = border_info.state_name group by ( border_info.state_name ) order by count ( distinct border_info.border ) desc limit 1 ;

what is the shortest river ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

what is the population of idaho ? ||| select state.population from state where state.state_name = ' idaho ' ;

what is the state with the largest density in usa ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

how many states border alaska ? ||| select count ( border_info.border ) from border_info where border_info.state_name = ' alaska ' ;

what are the major cities in north carolina ? ||| select city.city_name from city where city.state_name = ' north carolina ' and city.population > 150000 ;

what is the highest point in the smallest state ? ||| select highlow.highest_point from highlow , state where highlow.state_name = state.state_name and state.area = ( select min ( state.area ) from state ) ;

how big is alaska ? ||| select state.area from state where state.state_name = ' alaska ' ;

what state has the greatest population density ? ||| select state.state_name from state where state.density = ( select max ( state.density ) from state ) ;

boulder population ? ||| select city.population from city where city.city_name = ' boulder ' ;

which states does not border texas ? ||| select state.state_name from state where state.state_name not in ( select border_info.border from border_info where border_info.state_name = ' texas ' ) ;

which states does colorado river flow through ? ||| select river.traverse from river where river.river_name = ' colorado ' ;

give me the cities in texas ? ||| select city.city_name from city where city.state_name = ' texas ' ;

what is the shortest river in the us ? ||| select river.river_name from river where river.length = ( select min ( river.length ) from river ) ;

could you tell me what is the highest point in the state of oregon ? ||| select highlow.highest_point from highlow where highlow.state_name = ' oregon ' ;

what is the population of seattle ? ||| select city.population from city where city.city_name = ' seattle ' ;

what rivers are in utah ? ||| select river.river_name from river where river.traverse = ' utah ' ;

how big is massachusetts ? ||| select state.area from state where state.state_name = ' massachusetts ' ;

what are the populations of states which border missouri ? ||| select state.population from state , border_info where border_info.border = state.state_name and border_info.state_name = ' missouri ' ;

which state has the longest river ? ||| select river.traverse from river where river.length = ( select max ( river.length ) from river ) ;

how many people live in spokane washington ? ||| select city.population from city where city.city_name = ' spokane ' and city.state_name = ' washington ' ;

how high is the highest point in the largest state ? ||| select highlow.highest_elevation from highlow , state where highlow.state_name = state.state_name and state.area = ( select max ( state.area ) from state ) ;

which states border arizona ? ||| select border_info.border from border_info where border_info.state_name = ' arizona ' ;

how many rivers are there in the us ? ||| select count ( river.river_name ) from river ;

what are the major rivers in the us ? ||| select river.river_name from river ;

what are the major cities of the us ? ||| select city.city_name from city where city.population > 150000 ;

what is the population of boston ? ||| select city.population from city where city.city_name = ' boston ' ;

what is the average population of the us by state ? ||| select avg ( state.population ) from state ;

what states does the mississippi run through ? ||| select river.traverse from river where river.river_name = ' mississippi ' ;

how long is the mississippi river in miles ? ||| select river.length from river where river.river_name = ' mississippi ' ;

how many major cities are there ? ||| select count ( city.city_name ) from city where city.population > 150000 ;

what is the lowest point in the state of texas ? ||| select highlow.lowest_point from highlow where highlow.state_name = ' texas ' ;

what states border delaware ? ||| select border_info.border from border_info where border_info.state_name = ' delaware ' ;

what river flows through colorado ? ||| select river.river_name from river where river.traverse = ' colorado ' ;

what is the highest point in the united states ? ||| select highlow.highest_point from highlow where highlow.highest_elevation = ( select max ( highlow.highest_elevation ) from highlow ) ;

